日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20150604,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5156.01,5194.23,4863.47,5181.42,37.83,0.74,48276.73,7351.71,300
20150605,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5254.91,5288.34,5104.18,5230.55,49.14,0.95,54596.12,8552.24,300
20150608,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5259.41,5370.61,5202.59,5353.75,123.20,2.36,63731.32,9494.98,300
20150609,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5379.47,5380.43,5251.21,5317.46,-36.29,-0.68,57042.73,8714.32,300
20150610,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5254.30,5374.83,5209.68,5309.11,-8.35,-0.16,44216.57,7115.09,300
20150611,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5305.14,5329.30,5248.16,5306.59,-2.52,-0.05,39233.88,6605.85,300
20150612,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5329.28,5351.65,5283.09,5335.12,28.53,0.54,43013.14,6942.13,300
20150615,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5354.01,5362.45,5207.31,5221.17,-113.95,-2.14,47574.57,7662.38,300
20150616,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5165.02,5204.30,5015.26,5064.82,-156.35,-2.99,41167.56,6515.23,300
20150617,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5072.31,5158.37,4949.29,5138.83,74.01,1.46,39712.42,5898.68,300
20150618,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5107.69,5121.22,4926.43,4930.55,-208.28,-4.05,36439.58,5556.47,300
20150619,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4847.06,4910.45,4634.69,4637.05,-293.50,-5.95,35810.47,5196.10,300
20150623,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4641.42,4786.96,4455.33,4786.09,149.04,3.21,36508.79,5369.84,300
20150624,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4811.59,4883.73,4744.31,4880.13,94.04,1.96,43463.87,6153.74,300
20150625,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4906.24,4919.26,4667.22,4706.52,-173.61,-3.56,44613.60,6402.46,300
20150626,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4573.87,4650.19,4278.68,4336.19,-370.32,-7.87,44663.98,6129.59,300
20150629,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4446.84,4451.17,4000.93,4191.55,-144.65,-3.34,52566.25,7040.15,300
20150630,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4161.07,4475.77,4016.01,4473.00,281.45,6.71,52704.53,7160.46,300
20150701,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4408.98,4526.13,4235.70,4253.02,-219.98,-4.92,43172.14,6233.31,300
20150702,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4287.73,4312.19,4000.06,4108.00,-145.02,-3.41,45706.22,5935.07,300
20150703,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4017.20,4164.63,3785.90,3885.92,-222.08,-5.41,42930.09,5382.17,300
20150706,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4218.27,4218.27,3832.47,3998.54,112.62,2.90,64809.45,7795.58,300
20150707,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3877.85,3960.64,3743.62,3928.00,-70.53,-1.76,67938.50,7959.63,300
20150708,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3651.06,3762.62,3612.25,3663.04,-264.97,-6.75,58146.71,6401.22,300
20150709,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3621.68,3930.26,3537.83,3897.63,234.59,6.40,50387.06,5647.44,300
20150710,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3916.27,4179.11,3887.55,4106.56,208.93,5.36,50070.18,6290.80,300
